name,family,k,rho,cp,nu_cSt,beta,B_visc,bp_C,flash_C,dielectric,bdv_kV,notes,review
Water-glycol,Water/glycol mixture,0.4,1050,3500.0,3.8,0.0005,2400.0,105.0,,False,,"Excellent heat transfer, not dielectric",Broadly OK for ~50/50 EG-water; density at 25 C is closer to 1070 kg/m3 than 1050. tan-delta=1 understood as placeholder for conductive.
Deionized water,Water,0.6,997,4180.0,0.89,0.00026,1900.0,100.0,,False,,Excellent thermal fluid but conductivity rises with contamination,CORRECTED: theoretical max for ultrapure water is 18.2 Mohm-cm = 1.8E5 ohm-m; 1E6 ohm-m exceeds the physical limit. Practical loop values are lower and fall with contamination.
Pentaerythritol ester,Synthetic ester,0.14,975,1950.0,7.0,0.00075,3200.0,300.0,250.0,True,50.0,High-temperature dielectric ester,Plausible generic values; confirm specific product grade.
HFO-1336 (SF33),Hydrofluoroolefin (HFO),0.077,1360,1200.0,0.28,0.0015,1500.0,33.4,,True,10.0,Low-GWP dielectric refrigerant,"DUPLICATE: HFO-1336mzz(Z) IS Opteon SF33 - same fluid as SF33 row. CORRECTED per Chemours bulletin: k=0.077, rho~1360, 0.38 cP / 0.28 cSt, resistivity 1E8 ohm-cm = 1E6 ohm-m (polar fluid, NOT 1E15), breakdown 10 kV, BP 33.4 C. tan-delta not published; expected higher than PFCs (dielectric constant ~32)."
C6F-ketone,Fluoroketone,0.059,1600,1100.0,0.4,0.0015,1500.0,49.0,,True,40.0,Equivalent to Novec 649 chemistry,Duplicate of Novec 649 row (same C6 fluoroketone) - same corrections applied. Consider merging.
F7A,Fluorinated dielectric fluid,0.07,1500,1100.0,0.7,0.0015,1500.0,55.0,,True,40.0,Two-phase immersion fluid,Could not verify product identity/datasheet - confirm with vendor.
Novec 7000,Hydrofluoroether,0.075,1400,1300.0,0.32,0.0015,1500.0,34.0,,True,35.0,Very low boiling immersion fluid,"Thermal/viscosity values OK vs 3M datasheet. CORRECTED resistivity: 3M lists 1E8 ohm-cm = 1E6 ohm-m, not 1E15. Verify breakdown voltage against 3M TDS (test-method dependent)."
Novec 7100 (HFE-7100),Hydrofluoroether,0.069,1510,1180.0,0.38,0.0015,1500.0,61.0,,True,28.0,Common electronics cooling fluid,Same product as HFE-7100 row (methoxy-nonafluorobutane) - duplicate. Same corrections applied.
Novec 649,Fluoroketone,0.059,1600,1100.0,0.4,0.0015,1500.0,49.0,,True,40.0,Low-GWP two-phase dielectric fluid,"CORRECTED per 3M: thermal conductivity 0.059 (not 0.065), viscosity 0.64 cP / 0.40 cSt (not 1.4/0.9). Volume resistivity ~1E12 ohm-cm = 1E10 ohm-m (not 1E15). Breakdown ~40 kV OK."
MIVOLT DF7,Dielectric ester,0.13,900,2000.0,7.0,0.00075,3200.0,250.0,170.0,True,50.0,Power-electronics dielectric fluid,Vendor ester (M&I Materials); density typically ~960-970 kg/m3 rather than 900 - verify against TDS.
SF49,Synthetic fluorinated dielectric fluid,0.07,1550,1100.0,0.8,0.0015,1500.0,49.0,,True,40.0,Two-phase immersion coolant,"Could not verify ""SF49"" as a product; values mirror Novec 649 (BP 49 C). Possibly conflated - confirm intended fluid (e.g., Chemours Opteon 2P50 boils at ~49 C)."
Dimethyl silicone,Silicone oil,0.15,950,1500.0,50.0,0.00095,1600.0,250.0,315.0,True,40.0,High-temperature dielectric silicone fluid,"INCONSISTENT: flash point (315) cannot exceed boiling point (300). Silicone oils have no true atmospheric BP - they decompose; BP set to "">250 (decomposes)"". Flash ~280-320 applies to higher-viscosity grades."
OW-20,Synthetic hydrocarbon / PAO blend,0.145,840,2000.0,20.0,0.00075,3200.0,220.0,210.0,True,35.0,Low-viscosity engineered cooling oil,"If this means 0W-20 engine oil, kinematic viscosity at 25 C is ~50 cSt (not 20). Verify intended product."
PAO,Polyalphaolefin (PAO),0.14,820,2000.0,14.0,0.00075,3200.0,280.0,230.0,True,40.0,Widely used synthetic immersion coolant,Plausible for PAO 4-6 grade; viscosity/flash vary strongly by grade.
Ethyl silicone oil,Silicone oil,0.14,930,1600.0,30.0,0.00095,1600.0,250.0,290.0,True,38.0,Dielectric silicone-based coolant,"INCONSISTENT: flash (290) > listed BP (250) is physically impossible. BP set to "">250 (decomposes)"". Verify grade-specific data."
